id,address_type,latitude,longitude,address_1,address_2,address_city,address_state,address_zip,zip_plus4,bedrooms,bathrooms,square_feet,year_built,company_name,listing_amount,price_per_sf,last_listing_creation_time,last_listing_deactivation_time,property_listing_status,distance_miles,url,amenities,community_unit_count
503 Hosea St||2026-06-25 10:10:39,apartment,30.171522,-96.39566,503 Hosea St,,Brenham,TX,77833,,1,1,733,,We Manage Properties,1400,1.91,2026-06-25 10:10:39,2026-06-27 10:14:58,inactive,1.563,,,1
704 E Academy St||2026-06-05 08:35:38,apartment,30.171741,-96.392708,704 E Academy St,,Brenham,TX,77833,,2,1,816,,We Manage Properties,1250,1.53,2026-06-05 08:35:38,,active,1.583,,,1
1016 W Jefferson St||2026-03-20 03:48:09,apartment,30.166973,-96.411369,1016 W Jefferson St,,Brenham,TX,77833,,2,1,912,,Sharon Cunningham,1300,1.43,2026-03-20 03:48:09,2026-03-31 08:03:16,inactive,1.592,,,1
806 E Academy St||2026-06-25 17:48:19,apartment,30.172251,-96.391693,806 E Academy St,,Brenham,TX,77833,,1,1,,,Zachary Sasser,1100,,2026-06-25 17:48:19,2026-06-27 00:52:21,inactive,1.624,,,1
1509 Wyandotte Ln|Apt A|2024-10-24 09:52:37,apartment,30.164055,-96.419266,1509 Wyandotte Ln,Apt A,Brenham,TX,77833,,2,1,900,1979,We Manage Properties,850,0.94,2024-10-24 09:52:37,2025-02-22 09:37:03,inactive,1.796,,,4
102 Jeffries St||2026-06-05 08:35:22,apartment,30.175594,-96.400658,102 Jeffries St,,Brenham,TX,77833,,2,1,842,1940,We Manage Properties,900,1.07,2026-06-05 08:35:22,,active,1.876,,,4
1001 N Park St||2026-01-10 14:02:33,apartment,30.175695,-96.400398,1001 N Park St,,Brenham,TX,77833,,2,1,842,1940,We Manage Properties,1100,1.31,2026-01-10 14:02:33,2026-04-25 10:06:31,inactive,1.880,,,4
309 McNeese St||2026-02-27 10:59:17,apartment,30.178633,-96.404045,309 McNeese St,,Brenham,TX,77833,,2,1,877,2020,We Manage Properties,1400,1.6,2026-02-27 10:59:17,2026-05-13 09:56:18,inactive,2.126,,,1
1835 S Berlin Rd||2025-09-17 10:07:31,apartment,30.150578,-96.460869,1835 S Berlin Rd,,Brenham,TX,77833,,2,1,950,2012,We Manage Properties,1300,1.37,2025-09-17 10:07:31,2025-09-24 09:51:55,inactive,3.947,,,5
1825 S Berlin Rd||2026-06-05 08:35:20,apartment,30.150658,-96.46096,1825 S Berlin Rd,,Brenham,TX,77833,,2,1,950,2012,We Manage Properties,1200,1.26,2026-06-05 08:35:20,,active,3.953,,,5
