gl,account,code,count,source,conflicts
6500-1010,6500-1010 - Travel,ad,2,"Bryce - (Arlington, TX) - District on Collins",
6500-1200,6500-1200 - Telephone Expenses,ad,2,"Bryce - (Arlington, TX) - District on Collins",
6500-1210,6500-1210 - Subscriptions/Memberships,ad,2,"Bryce - (Arlington, TX) - District on Collins",
6500-1300,6500-1300 - Uniforms,ad,2,"Bryce - (Arlington, TX) - District on Collins",
6500-1350,6500-1350 - Processing Fees,ad,2,"Bryce - (Arlington, TX) - District on Collins",
6500-1400,6500-1400 - Employee Recognition & Recruiting,ad,2,"Bryce - (Arlington, TX) - District on Collins",
6500-1450,6500-1450 - Community Maintenance Fee Expense,ad,2,"Bryce - (Arlington, TX) - District on Collins",
6500-1500,6500-1500 - Miscellaneous Expense,ad,2,"Bryce - (Arlington, TX) - District on Collins",
65000,65000 Management Fees,mf,2,"Yonnic - (Lubbock, TX) - Estrada South II",
65000,65000 - Property Management Fees,mf,6,"Dylan - (Dallas, TX) - Principal Residences",
650005,650005 - Screening Fees,ad,2,"Paul - (Fort Worth, TX) - Aden Crest",
650099,650099 - Other Miscellaneous Expense,ad,2,"Paul - (Fort Worth, TX) - Aden Crest",
6501,6501 ACCESS GATES/FENCES/PATIO,rm,2,"Dylan - (Houston, TX) - The 910",
6501,6501 Contract Labor Onsite Staff,cs,6,"Guillermo - (Bryan, TX) - West University Gardens",
6502,"6502 APPLIANCES PARTS,SUP",rm,4,"Jackson - (Lufkin, TX) - Falling Water",
6502,"6502 APPLIANCES PARTS,SUPPLY",rm,4,"Dylan - (Houston, TX) - The 910",
6502,6502 Spectrum,o,2,"Dylan  - (Dallas, TX) - Rosedale Apartments",
6503,6503 Kings III,cs,2,"Dylan  - (Dallas, TX) - Rosedale Apartments",
6503,6503 MAINTENANCE SUPPLIE,rm,4,"Jackson - (Lufkin, TX) - Falling Water",
6505,6505 Appliance - Contract,cs,8,"Trey - (Fate, TX) - The Villages at Fate",
6505,6505 Plumber Contractor,cs,2,"Yonnic -  (Waco, TX) - West Campus Lofts",
6505,6505 ROOF REPAIRS & MAINT.,rm,2,"Guillermo - (Dallas, TX) - Eclipse of White Rock",
65050,65050 - Courtesy Patrol,cs,2,"Dylan - (Houston, TX) - Corridor at Westchase",
6506,6506 BATHROOM/KITCHEN F,rm,4,"Jackson - (Lufkin, TX) - Falling Water",
6506,6506 GENERAL REPAIR,rm,2,"Guillermo - (Dallas, TX) - Eclipse of White Rock",
6507,6507 CABINETRY,rm,2,"Dylan - (Houston, TX) - The 910",
