gl,account,code,count,source,conflicts
,Water & Sewage,w,2,"Dylan - (Fort Worth, TX) - Bonnie Royal",
,Water & Sewer,w,43,"Yonnic - (Monroe, LA) - Seasons & Woodale",
,Water & Sewer 1st,w,2,"David - (Kingsville, TX) - SG Apartments",
,Water & Sewer - Common Usage,w,2,"Guillermo - (Lubbock, TX) - Cottage Point",
,Water & Sewer Revenue,rw,2,"Jon - (Richardson, TX) - Winding Way",
,Water & Sewer- Utilities,w,2,"Dylan - (Houston, TX) - Residences at Med",
,Water & Sewer Utility,rw,6,"Emilio - (Dallas, TX) - Tribeca & 2106 Bennett",
,Water & Trash Income,rt,2,"Jon - (DeSoto, TX) - Canyon Oaks",
,Water Treatment,cs,4,"Guillermo - (Dallas, TX) - Pearl at Midtown",1xw
,Water Treatment - Chilled Water,w,2,"Guillermo - (Baton Rouge, LA) - Terraces at Perkins Rowe",
,Water Utility Reimbursements,oi,2,"Guillermo - (Lubbock, TX) - Cottage Point",
,Water & Wastewater,w,9,"Guillermo - (Lubbock, TX) - Lubbock Square Apartments",
,Water/ Sewer - Rubs,rw,2,"Trey - (Garland, TX) - Hills of Palos Verde",
,water/sewer 2nd,w,2,"David - (Kingsville, TX) - SG Apartments",
,Water/Sewer Etc.,rw,2,"Dylan - (Houston, TX) - Park at Vittoria",
,Water/Sewer Line Repairs,rm,4,"Guillermo - (Houston, TX) - Pines at Woodcreek",
,Water/Sewer Rebill,rw,6,"Yonnic - (San Antonio, TX) - Seraphina Castle Hills",1xoi
,Water/Sewer Reimbursements,rw,4,"Greg - (Arlington, TX) - Stadium West",
,Water/Sewer Rubs Income,rw,2,"Paul - (Dallas, TX) - Hampton Road Duplexes",
,Water/Sewer Utility Income,rw,2,"Dylan - (Lubbock, TX) - Crest at Cooper",
,Water/Sewer/ Trash,w,2,"Emilio - (Sherman, TX) - Concord Village",
,Water/Sewer/Garbage,w,2,"Angel - (Granbury, TX) - The Woods",
,Water/Sewer/Storm Water,oi,2,"Trey - (Dallas, TX) - Ascent at Midtown",
,Water/Sewer/Trash,rw,4,David - (Carrollton) - Marbella Villas at Indian Creek,1xw
,Water/Trash,rw,2,"Chase - (Shawnee, OK) - Villa Chateau",
,WATER/UTILITY REIMBURSEMENTS,oi,2,"Paul - (Garland, TX) - Vista Isle",
,Web Domain & Email,ad,2,"Danny - (Oklahoma City, OK) - The Brickson",
,Web Site,m,2,"Dylan - (Fort Worth, TX) - Bonnie Royal",
,Website,m,21,"Emilio - (Houston, TX) - Las Palmas",1xrm
,Website Creation/Maintenance,ad,2,"Will - (Overland Park, KS) - 87th Street Apartments",
,Website Design,m,2,"Emilio - (Garland, TX) - Orchard Hills",
,Website Hosting,m,4,"Guillermo - (Lubbock, TX) - Cottage Point",
,Website Legal Compliance,m,2,"Will - (Kansas City, MO) - Province of Briarcliff",
,Website Management,m,2,"Danny - (Manor, TX) - Flats at Shadowglen",
,Website/Internet Listings & Ads,m,4,"Emilio - (Dallas, TX) - Bella Vista Pointe",
,Wifi & Internet Services,cs,6,"Jon - (Tulsa, OK) - Boulder Ridge",1xo
,Wind Buy Down,i,2,"Jon - (Lewisville, TX) - Vistas on the Park",
,Window / Screen / Glass Repair,rm,6,"Yonnic - (San Antonio, TX) - Seraphina Castle Hills",
,Window Covering Repair,rm,2,"Danny - (Manor, TX) - Flats at Shadowglen",
,Window Coverings,rm,4,"David - (Temple, TX) - Asbury Park",
,Window Coverings Repair/Repl,rm,2,"Danny - (Manor, TX) - Flats at Shadowglen",
,Window Coverings/Miniblinds,rm,4,"Guillermo - (Lubbock, TX) - Cottage Point",
,Window Dressing/Treatment R&M,rm,2,"David - (Odessa, TX) - East 12th Townhomes",
,Window Repair/Replacement Exp,rm,4,"Will - (Overland Park, KS) - 87th Street Apartments",
,Window Repairs,rm,3,"Yonnic - (Bryan, TX) - Retreat at 2818",
,Window Replacement,rm,2,"Jackson - (Pilot Knob, MO) - Countryside Apartments",
,Window'S,rm,2,"David - (Temple, TX) - Asbury Park",
,Window Screen Replacement,rm,2,"Emilio - (Houston, TX) - Walnut Creek",
,Windows,rm,4,"Will - (Kansas City, MO) - Province of Briarcliff",
,Windows And Doors,rm,2,"Dylan - (Fort Worth, TX) - The Stella",
,Windows & Doors,rm,2,"Danny - (Oklahoma City, OK) - The Brickson",
,"Windows, Doors & Glass",rm,2,"Guillermo - (Temple, TX) - Greenbrier Park Apartments",
,"Windows, Doors, & Glass Repairs",rm,2,"Guillermo - (Temple, TX) - Greenbrier Park Apartments",
,Windows & Glass,rm,2,"Guillermo - (Lubbock, TX) - Cottage Point",
,"Windows, Screens Cleaning & Repair",rm,2,"Guillermo - (Yukon, OK) - Yukon Heights",
,Windows-Screens-Storm Window,rm,2,"Dylan - (Houston, TX) - Park at Vittoria",
,Windows/Doors,rm,4,"Trey - (Duncanville, TX) - Sunset Villa",
,Windows/Glass,rm,2,"Jon - (Lewisville, TX) - Vistas on the Park",
,Windows/Window Screen,rm,2,"Dylan - (Fort Worth, TX) - Bonnie Royal",
,Work Comp Insurance,pr,5,"Yonnic - (Monroe, LA) - Seasons & Woodale",
,Work truck:,rm,2,"Danny - (OKC, OK) - The Hudson",
,Worker'S Comp Insurance,pr,6,"Guillermo - (Yukon, OK) - Yukon Heights",
,Worker'S Comp Insurance Premium,pr,2,"Danny - (Dallas, TX) - The Link",
,Worker's Compensation,pr,25,"Emilio - (Houston, TX) - Las Palmas",
,Worker Wages - TX,pr,2,"Dylan - (College Station, TX) - Park Place",
,Workers Comp,pr,6,- Orleans,
,Workers Comp - Admin.,pr,2,"Danny - (Manor, TX) - Flats at Shadowglen",
,Workers Comp - Administrative,pr,2,"Danny - (Manor, TX) - Flats at Shadowglen",
,Workers' Comp Insurance,pr,2,"David - (Odessa, TX) - East 12th Townhomes",
,Workers Comp - Maintenance,pr,2,"Danny - (Manor, TX) - Flats at Shadowglen",
,Workers Compensation,pr,8,"Trey - (Duncanville, TX) - Sunset Villa",
,Workers' Compensation Ins,pr,2,"Dylan - (Houston, TX) - Park at Vittoria",
,Workers Compensation Insurance,pr,8,"Will - (Overland Park, KS) - 87th Street Apartments",
,Workmans Comp Insurance,pr,12,"Jon - (Tulsa, OK) - Boulder Ridge",
,Workmens Compensation,pr,4,"Dylan - (Fort Worth, TX) - The Stella",
,Workplace Safety Supplies,rm,4,"Guillermo - (Houston, TX) - Pines at Woodcreek",
,Writ Of Possession,rm,2,"Jon - (Waco, TX) - Creole Apartments",
,- Write-Off,bd,2,"Dylan - (Houston, TX) - Park at Vittoria",
,Write Off Rent Recovery,bd,2,"Danny - (Manor, TX) - Flats at Shadowglen",
,Write Off'S,bd,2,"Danny - (Oklahoma City, OK) - The Brickson",
,Write-offs,bd,4,"David - (Universal City, TX) - Falcon Apartments",
,Write Offs Collection Loss,bd,4,"Dylan - (Fort Worth, TX) - The Stella",1xoi
,WRITE OFFS-OTHER,bd,2,"Paul - (Garland, TX) - Vista Isle",
,WRITE OFFS-RENT,bd,2,"Paul - (Garland, TX) - Vista Isle",
,Yard Services - Bi-weekly,cs,2,"Paul - (Denton, TX) - Maple Tree Townhomes",
,Yardi Software Access Fees,ad,4,"Will - (Overland Park, KS) - 87th Street Apartments",
,Zillow,m,8,"Will - (Kansas City, MO) - Province of Briarcliff",
01000,01000 - Cobtand Supplies : Marketing arena&,m,2,"Danny - (Dallas, TX) - Magnolia on Gaston",
01020,01020 - Adveresirn - Internet,m,2,"Danny - (Dallas, TX) - Magnolia on Gaston",
03010,03010 - Binds,rm,2,"Danny - (Dallas, TX) - Magnolia on Gaston",
03120,03120 - Gate - Remcdas I Swipes 6 FOSS,rm,2,"Danny - (Dallas, TX) - Magnolia on Gaston",
03271,03271 - Bettenes,rm,2,"Danny - (Dallas, TX) - Magnolia on Gaston",
03345,03345 • Sheetock Repairs,rm,2,"Danny - (Dallas, TX) - Magnolia on Gaston",
03360,03360 - Tub Gluing,rm,2,"Danny - (Dallas, TX) - Magnolia on Gaston",
04070,04070 - Does 8. 50scrip6ord,ad,2,"Danny - (Dallas, TX) - Magnolia on Gaston",
04219,04219 - Ftesident Serices • Deposit entrance,ad,2,"Danny - (Dallas, TX) - Magnolia on Gaston",
07030.,07030. Properly Tame,tx,2,"Danny - (Dallas, TX) - Magnolia on Gaston",
08100,08100 - Maintenance Supervisor,pr,2,"Danny - (Dallas, TX) - Magnolia on Gaston",
1,1 Rent,r,2,"Bryce - (Arlington, TX) - Timberlake Villas",
1,1 Room Auxiliary Charge,rw,2,"David - (Kingsville, TX) - SG Apartments",
15000-,15000- Properly lAirrpement Fees,mf,2,"Danny - (Dallas, TX) - Magnolia on Gaston",
2,2 Loss to Lease,ll,2,"Bryce - (Arlington, TX) - Timberlake Villas",
2,2 Room Auxiliary Charge,rw,2,"David - (Kingsville, TX) - SG Apartments",
2025,2025 CAD,tx,2,"Guillermo - (Houston, TX) - Houston Westlake Village",
2025,2025 Taxes Paid,tx,2,"Guillermo - (Canyon, TX) - - Torres Evolution Canyon",
3,3 Carport,oi,2,"Bryce - (Arlington, TX) - Timberlake Villas",
31100,31100 · Other Income / Expenses,oi,2,"Jackson - (Whitehouse, TX)- The Villas at Hamilton Park",
3144,3144 Rub) 91009',rw,2,"Danny - (Dallas, TX) - Magnolia on Gaston",
33011,33011 - Leases Under Schedule,ll,15,"(Jacksonville, TX) - Pebble Brook",
33020,33020 - Vacancy Loss,v,15,"(Jacksonville, TX) - Pebble Brook",
33040,33040 - Bad Debt Loss,bd,15,"(Jacksonville, TX) - Pebble Brook",
33050,33050 - Discounts & Concessions,nr,15,"(Jacksonville, TX) - Pebble Brook",
33320,33320 - Parking,oi,15,"(Jacksonville, TX) - Pebble Brook",
33350,33350 - Cable Tv & Internet,ro,15,"(Jacksonville, TX) - Pebble Brook",
33420,33420 - Interest Income,oi,6,"(Marshall, TX) - Harvest Creek",
33430,33430 - Deposit Forfeitures,oi,15,"(Jacksonville, TX) - Pebble Brook",
33490,33490 - Laundry Revenue,oi,6,"(Jacksonville, TX) - Pebble Brook",
33590,33590 - Application Fees,oi,15,"(Jacksonville, TX) - Pebble Brook",
33600,33600 - Non-Refundable Pet Fees,oi,15,"(Jacksonville, TX) - Pebble Brook",
33610,33610 - Late & Nsf Charges,oi,15,"(Jacksonville, TX) - Pebble Brook",
33680,33680 - Deposit Waiver Fee,oi,3,"(Athens, TX) - Deer Park",
33750,33750 - Misc Tenant Charges,oi,15,"(Jacksonville, TX) - Pebble Brook",
33760,33760 - Corporate Rentals,oi,3,"(Wichita Falls, TX) - Brook Hollow",
33810,33810 - Electric Reimbursements,ro,3,"(Marshall, TX) - Harvest Creek",
33820,33820 - Water Sewer Reimbursements,rw,3,"(Marshall, TX) - Harvest Creek",
33840,33840 - Pest Control Reimbursements,ro,3,"(Marshall, TX) - Harvest Creek",
33850,33850 - Trash Reimbursements,rt,3,"(Marshall, TX) - Harvest Creek",
3910.0000,3910.0000 - Discounts,nr,2,"Bryce - (Houston, TX) - Fairfield Cove",
4,4 Storage Space Rental,oi,2,"Bryce - (Arlington, TX) - Timberlake Villas",
4000,4000 Net Rental Income - Other,oi,4,"Greg - (Garland, TX) - Gardens on Walnut",1xr
4000-000,4000-000 Base Unit Rent,r,2,"Danny - (Tulsa, OK) - Metro Plex",
4000-001,4000-001 - Gross Potential Rent,r,4,"Dylan - (Fort Worth, TX) - Trail Lakes",
4000-002,4000-002 - (Loss) / Gain To Lease,ll,4,"Dylan - (Fort Worth, TX) - Trail Lakes",
4000-003,4000-003 - Bad Debt / Write-Off Uncollectible Rent,bd,4,"Dylan - (Fort Worth, TX) - Trail Lakes",
4000-004,4000-004 - Concession,nr,4,"Dylan - (Fort Worth, TX) - Trail Lakes",
4000-006,4000-006 - Employee Unit Rent Allowance,nr,2,"Chris - (Hurst, TX) - Arbor Park",
4000-007,4000-007 - Resident / Leasing Referral,nr,2,"Dylan - (Fort Worth, TX) - Trail Lakes",
4000-011,4000-011 - Vacancy Loss,v,4,"Dylan - (Fort Worth, TX) - Trail Lakes",
4000-014,4000-014 - Preferred Employer / Military Discount,nr,2,"Dylan - (Fort Worth, TX) - Trail Lakes",
40000,40000 · Gross Potential Rent,r,2,"Dylan - (College Station, TX)  - Quarters on Luther",
40000,40000 Market Rent,r,2,"Paul - (Fort Worth, TX) - Rio Apartments",
40001,40001 GROSS POTEN,r,2,"Danny - (Tulsa, OK) - Waterford",
40002,40002 GROSS RENTA,ll,2,"Danny - (Tulsa, OK) - Waterford",
40003,40003 LOSS TO PROM,ll,2,"Danny - (Tulsa, OK) - Waterford",
40004,40004 LOSS TO PROM,ll,2,"Danny - (Tulsa, OK) - Waterford",
40005,40005 NON-REVENUE,nr,2,"Danny - (Tulsa, OK) - Waterford",
40006,40006 LOSS TO VACA,v,2,"Danny - (Tulsa, OK) - Waterford",
40007,40007 GAIN/LOSS TO,ll,2,"Danny - (Tulsa, OK) - Waterford",
40008,40008 DELINQUENT R,bd,2,"Danny - (Tulsa, OK) - Waterford",
4001,4001 Market Rent,r,2,"Guillermo - (Canyon, TX) - - Torres Evolution Canyon",
4001.000,4001.000 - Gross Potential Rent,r,2,"Guillermo - (San Antonio, TX) - Lyra",
4001.000,4001.000 RENTAL INCOME - Other,oi,2,"Greg- (Arlington, TX) - Pine Ridge Apartments",
4001.0000,4001.0000 - Gross Potential Rent,r,18,"- (Longview, TX) - Highland Village",
4001.001,4001.001 Gross Potential Rent,r,3,"Jackson - (Balch Springs, TX) - Shepherd Lane Apartments",
4001.001,4001.001 Net Rental Income,r,2,"Yonnic - (Dallas, TX) - Casa de Arroyo",
4001.002,4001.002 Gross Potential Re,r,2,"Guillermo - (Hurst, TX) - Point on Calloway",
4001.002,4001.002 Gross Potential Rent,r,2,"Yonnic - (Dallas, TX) - Casa de Arroyo",
4001.002,4001.002 Subsidy Rent,r,3,"Jackson - (Balch Springs, TX) - Shepherd Lane Apartments",
4001.003,4001.003 (Loss) / Gain to Ol,ll,2,"Guillermo - (Hurst, TX) - Point on Calloway",
4001.003,4001.003 (Loss) / Gain to Old Lease,ll,5,"Yonnic - (Dallas, TX) - Casa de Arroyo",
4001.004,4001.004 Bad Debt / Write-,bd,2,"Guillermo - (Hurst, TX) - Point on Calloway",
4001.004,4001.004 Bad Debt / Write-Off Uncollectable Rent,bd,5,"Yonnic - (Dallas, TX) - Casa de Arroyo",
4001.005,4001.005 Delinquent Rent,bd,3,"Jackson - (Balch Springs, TX) - Shepherd Lane Apartments",
4001.005,4001.005 Rent Concessions,nr,4,"Yonnic - (Dallas, TX) - Casa de Arroyo",
4001.006,4001.006 Delinquencies,bd,4,"Yonnic - (Dallas, TX) - Casa de Arroyo",
4001.008,4001.008 Employee Unit Ren,nr,2,"Guillermo - (Hurst, TX) - Point on Calloway",
4001.009,4001.009 Resident Or Leasin,nr,2,"Guillermo - (Hurst, TX) - Point on Calloway",
4001.009,4001.009 Resident Or Leasing Referral,nr,2,"Yonnic - (Dallas, TX) - Casa de Arroyo",
4001.010,4001.010 Housing Rent Abat,nr,2,"Guillermo - (Hurst, TX) - Point on Calloway",
4001.011,4001.011 Prepaid Rent Adjustment,nr,2,"Yonnic - (Dallas, TX) - Casa de Arroyo",
4001.013,4001.013 Vacancy Loss,v,7,"Yonnic - (Dallas, TX) - Casa de Arroyo",
4001.014,4001.014 Vacancy Loss - Ad,v,2,"Guillermo - (Hurst, TX) - Point on Calloway",
4001.019,4001.019 Rent Concessions,nr,3,"Jackson - (Balch Springs, TX) - Shepherd Lane Apartments",
4001.021,4001.021 Rent Concessions - Utility Credit,nr,3,"Jackson - (Balch Springs, TX) - Shepherd Lane Apartments",
40010,40010 - Application Fee,oi,2,"Danny - (Dallas, TX) - Magnolia on Gaston",
40010,40010 UNCOLLECTAB,nr,2,"Danny - (Tulsa, OK) - Waterford",
4002,4002 Gross Potential Rent,r,5,"Yonnic - (San Antonio, TX) - The Kelly Apartments",
4002,4002 Market Rent,r,2,"Bryce - (DeSoto, TX) - Wooded Creek Apartments",
4002.000,4002.000 - Loss/Gain To Lease,ll,4,"Guillermo - (San Antonio, TX) - Lyra",
4002.0000,4002.0000 - Gain/Loss To Lease,ll,18,"- (Longview, TX) - Highland Village",
40020,40020 - Damages Charged to Residents,oi,2,"Danny - (Dallas, TX) - Magnolia on Gaston",
40023,40023 - Paid Reimbursement,oi,2,"Danny - (Dallas, TX) - Magnolia on Gaston",
4003,4003 Gain (Loss) To Lease,ll,5,"Yonnic - (San Antonio, TX) - The Kelly Apartments",
40030-,40030- 54/13 Termination Fee,oi,2,"Danny - (Dallas, TX) - Magnolia on Gaston",
4004,4004 - Rent,r,2,"Dylan - (Houston, TX) - Northbrooke",
4005,4005 (Loss) / Gain to Lease,ll,2,"Bryce - (DeSoto, TX) - Wooded Creek Apartments",
4005,4005 Market Rent,r,6,"Bryce - (OKC, OK) - 717 Ventura South",
4005,4005 Vacancy Loss,v,5,"Yonnic - (San Antonio, TX) - The Kelly Apartments",
4005.000,4005.000 - Market Rent,r,3,"Guillermo - (Moore, OK) - Southwinds Apartments",
40050,40050 Gain to Lease,ll,2,"Paul - (Fort Worth, TX) - Rio Apartments",
40057,40057 - AssetProteet,oi,2,"Danny - (Dallas, TX) - Magnolia on Gaston",
4006,4006 Concessions,nr,3,"Yonnic - (San Antonio, TX) - The Kelly Apartments",
4006,4006 - Loss/Gain To Lease,ll,2,"Bryce - (Addison, TX) - Jade Addison",
4006.000,4006.000 - Gain/Loss to Lease,ll,3,"Guillermo - (Moore, OK) - Southwinds Apartments",
40060,"40060 - Keys, Locks, Lock Changes",oi,2,"Danny - (Dallas, TX) - Magnolia on Gaston",
40070,40070 - Late Fees,oi,2,"Danny - (Dallas, TX) - Magnolia on Gaston",
4008,4008 Utility Set Up Fee-Recovery,rw,2,"Guillermo - (Canyon, TX) - - Torres Evolution Canyon",
4009,4009 Bad Debt/Write Off Uncollectable,bd,5,"Yonnic - (San Antonio, TX) - The Kelly Apartments",
401,401 K Match,pr,4,"Chris - (Baytown, TX) - Ranch at Rolling Brook",
401.00,401.00 Resident Fees (Rent),r,2,"Jon - (Dallas, TX) - Iris Memory Care of Turtle Creek",
401.10,401.10 Partial Resident Fees - Move-Ins,r,2,"Jon - (Dallas, TX) - Iris Memory Care of Turtle Creek",
401.20,401.20 Partial Resident Fees - Move-Outs,r,2,"Jon - (Dallas, TX) - Iris Memory Care of Turtle Creek",
4010,4010 Bad Debt Recovery,bd,5,"Yonnic - (San Antonio, TX) - The Kelly Apartments",
4010,4010   GROSS MARKET RENT,r,4,"Dylan - (Temple, TX) - Chappell Hill & Park at Chappell Hill",
4010,4010 Gross Potential R,r,4,"Yonnic - (Houston, TX) - Fall Lakes",
4010,4010 Gross Potential Rent,r,9,"Greg - (Houston, TX) - Hidden Park",
4010,4010 Market Rent,r,2,Guillermo - (Baton Rouge) - Eden Point,
4010,4010 Market Rental Income,r,5,"Dylan - (Fort Worth, TX) - Woods of Eastchase",
4010,4010 Rental Income- Current Month,r,2,"Jackson - (College Station, TX) - Anderson Point",
4010-0000,4010-0000 Market Rent,r,5,"Yonnic - (Austin, TX) - Alma North Plaza",
4010.000,4010.000 - Rent,r,2,"Guillermo - (Tulsa, OK ) - Waterside Apartments",
4010.0000,4010.0000 - Market Rent,r,4,"Bryce - (Houston, TX) - The Lofts at 3402",
4010.0002,4010.0002 - Concessions,nr,4,"Bryce - (Houston, TX) - The Lofts at 3402",
4010.0003,4010.0003 - Employee Apartments,nr,4,"Bryce - (Houston, TX) - The Lofts at 3402",
4010.0004,4010.0004 - Loss/Gain To Lease,ll,4,"Bryce - (Houston, TX) - The Lofts at 3402",
4010.0005,4010.0005 - Prepaid Rental Income,nr,4,"Bryce - (Houston, TX) - The Lofts at 3402",1xbd
4010.0009,4010.0009 - Write Off Loss,bd,4,"Bryce - (Houston, TX) - The Lofts at 3402","recoded from 'nr' (standardized to majority ({'nr': 4, 'bd': 6}))"
4010.0013,4010.0013 - One Time Concession,nr,2,"Bryce - (Houston, TX) - The Lofts at 3402",
40100,40100 · Less - Vacancies,v,2,"Dylan - (College Station, TX)  - Quarters on Luther",
40100,40100 Loss to Lease,ll,2,"Paul - (Fort Worth, TX) - Rio Apartments",
401001,401001 · Market-Gross Mkt Rent Potential,r,2,"Guillermo - (Lubbock, TX) - Thrive in Lubbock",
401003,401003 · Market - Gain/Loss to Lease,ll,2,"Guillermo - (Lubbock, TX) - Thrive in Lubbock",
401015,401015 · Vacancy Loss,v,2,"Guillermo - (Lubbock, TX) - Thrive in Lubbock",
401030,401030 · Recurring Concessions,nr,2,"Guillermo - (Lubbock, TX) - Thrive in Lubbock",
401042,401042 · Models,nr,2,"Guillermo - (Lubbock, TX) - Thrive in Lubbock",
401046,401046 · Employee Units,nr,2,"Guillermo - (Lubbock, TX) - Thrive in Lubbock",
401062,401062 · Bad Debt Recovery - Rent,bd,2,"Guillermo - (Lubbock, TX) - Thrive in Lubbock",
401093,401093 · Double Occupancy Fees,oi,2,"Guillermo - (Lubbock, TX) - Thrive in Lubbock",
401095,401095 · Furniture Rental Charges-Unit,oi,2,"Guillermo - (Lubbock, TX) - Thrive in Lubbock",
4011,4011 Market Rental Income - Other,r,2,"Dylan - (Arlington, TX) - Sweet Redemption",
4011,4011 Resident / Leasing Referral,nr,3,"Yonnic - (San Antonio, TX) - The Kelly Apartments",
4011-000,4011-000 Commerical Income - Additional Rent,oi,2,"Danny - (Tulsa, OK) - Metro Plex",
4011.000,4011.000 - Vacancy Loss,v,4,"Guillermo - (San Antonio, TX) - Lyra",
4011.0000,4011.0000 - Vacancy Loss,v,18,"- (Longview, TX) - Highland Village",
4011.100,4011.100 - Month To Month Rent,oi,4,"Guillermo - (San Antonio, TX) - Lyra",
40110,40110 · Less - Models,nr,2,"Dylan - (College Station, TX)  - Quarters on Luther",
401113,401113 · Pet Rent,oi,2,"Guillermo - (Lubbock, TX) - Thrive in Lubbock",
401122,401122 · Residential Parking,oi,2,"Guillermo - (Lubbock, TX) - Thrive in Lubbock",
401125,401125 · Short Term Lease Premium,oi,2,"Guillermo - (Lubbock, TX) - Thrive in Lubbock",
401130,401130 · Storage Income,oi,2,"Guillermo - (Lubbock, TX) - Thrive in Lubbock",
40115,40115 - Eviction Chaos / Legal Fees,oi,2,"Danny - (Dallas, TX) - Magnolia on Gaston",
401163,401163 · Less Bad Debt - Other,oi,2,"Guillermo - (Lubbock, TX) - Thrive in Lubbock",
4012,4012   LEASE RENT PREMIUM,ll,4,"Dylan - (Temple, TX) - Chappell Hill & Park at Chappell Hill",
40120,40120 · Less- Allowances & Concessions,nr,2,"Dylan - (College Station, TX)  - Quarters on Luther",
40120,40120 - Oter Referral Fees,oi,2,"Danny - (Dallas, TX) - Magnolia on Gaston",
4013.000,4013.000 - Employee Discounts,nr,2,"Guillermo - (Tulsa, OK ) - Waterside Apartments",
40130,40130 · Less- Bad Debt,bd,2,"Dylan - (College Station, TX)  - Quarters on Luther",
4014,4014 - Concession-Upfront,nr,2,"Bryce - (Addison, TX) - Jade Addison",
4014,4014 - Concessions - Upfront,nr,2,"Dylan - (Houston, TX) - Northbrooke",
4015,4015 - Courtesy Patrol Officer Discount,nr,2,"Dylan - (Houston, TX) - Northbrooke",
4015,4015 - Gain/Loss To Old Lease,ll,2,"Jon - (Waco, TX) - Red Oak Townhomes",
4015,4015   LESS: LOST TO LEASE,ll,4,"Dylan - (Temple, TX) - Chappell Hill & Park at Chappell Hill",
4015,4015 Subsidy Rent,r,5,"Dylan - (Fort Worth, TX) - Woods of Eastchase",
4016,4016 - Bad Debt | Write Off,bd,2,"Dylan - (Houston, TX) - Northbrooke",
4017,4017 - Bad Debt Write Offs,bd,2,"Bryce - (Addison, TX) - Jade Addison",
402.00,402.00 Community Fees,oi,2,"Jon - (Dallas, TX) - Iris Memory Care of Turtle Creek",
4020,4020 Gain/Loss To Lease,ll,7,"Dylan - (Fort Worth, TX) - Woods of Eastchase",
4020,4020   LESS: VACANCY,v,4,"Dylan - (Temple, TX) - Chappell Hill & Park at Chappell Hill",
4020,4020 Loss to Old Lease,ll,6,"Yonnic - (Houston, TX) - Fall Lakes",
4020,4020 Loss/Gain Lease,ll,9,"Bryce - (OKC, OK) - 717 Ventura South",
4020,4020 Loss/Gain To Lease,ll,4,"Jon - (San Antonio, TX) - Salado Creek Villas",
4020-0000,4020-0000 Loss/Gain to Lease,ll,5,"Yonnic - (Austin, TX) - Alma North Plaza",
4020.0000,4020.0000 - Concession-Special Promotion,nr,6,"- (Longview, TX) - Highland Village",
4021,4021 - Vacancy Loss,v,2,"Jon - (Waco, TX) - Red Oak Townhomes",
402103,402103 · Application Fee Income,oi,2,"Guillermo - (Lubbock, TX) - Thrive in Lubbock",
402104,402104 · Cleaning & Damage Fee Income,oi,2,"Guillermo - (Lubbock, TX) - Thrive in Lubbock",
402110,402110 · Gate Card Income,oi,2,"Guillermo - (Lubbock, TX) - Thrive in Lubbock",
402122,402122 · Late Fees,oi,2,"Guillermo - (Lubbock, TX) - Thrive in Lubbock",
402124,402124 · Lease Cancellation Fees,oi,2,"Guillermo - (Lubbock, TX) - Thrive in Lubbock",
402125,402125 · Legal Fees to Tenants,oi,2,"Guillermo - (Lubbock, TX) - Thrive in Lubbock",
402128,402128 · NSF Fees,oi,2,"Guillermo - (Lubbock, TX) - Thrive in Lubbock",
402131,402131 · Tenant Insurance,oi,2,"Guillermo - (Lubbock, TX) - Thrive in Lubbock",
402134,402134 · Transfer Fees,oi,2,"Guillermo - (Lubbock, TX) - Thrive in Lubbock",
402161,402161 · Miscellaneous Income,oi,2,"Guillermo - (Lubbock, TX) - Thrive in Lubbock",
4023,4023 - Bad Debt - Rent,bd,2,"Jon - (Waco, TX) - Red Oak Townhomes",
4024,4024 - Promotion/Concessions,nr,2,"Jon - (Waco, TX) - Red Oak Townhomes",
4025,4025 Subsidy Rent,r,2,"Jackson - (College Station, TX) - Anderson Point",
4025,4025 - Uncollectible Rent - Bad Debt,bd,2,"Jon - (Waco, TX) - Red Oak Townhomes",
4025.000,4025.000 - Staff Occupied,nr,3,"Guillermo - (Moore, OK) - Southwinds Apartments",
40250,40250 Vacancy Loss,v,2,"Paul - (Fort Worth, TX) - Rio Apartments",
403.00,403.00 Respite Care,oi,2,"Jon - (Dallas, TX) - Iris Memory Care of Turtle Creek",
4030,4030   LESS: CONCESSIONS,nr,4,"Dylan - (Temple, TX) - Chappell Hill & Park at Chappell Hill",
4030,4030 Vacancy Loss,v,5,"Dylan - (Fort Worth, TX) - Woods of Eastchase",
4031.000,4031.000 TRANSFER FEE,oi,2,"Greg- (Arlington, TX) - Pine Ridge Apartments",
4032,4032 Delinquency,bd,4,"Bryce - (OKC, OK) - 717 Ventura South",
40320,40320 Courtesy Officer Discount,nr,2,"Paul - (Fort Worth, TX) - Rio Apartments",
40340,40340 Down Units,nr,2,"Paul - (Fort Worth, TX) - Rio Apartments",
4035,4035 Bad Debt / Write-Off,bd,4,"Bryce - (OKC, OK) - 717 Ventura South",
4035,4035 Bad Debt / Write-Off U,bd,3,"Greg - (Houston, TX) - Encanto",
4035,4035 Bad Debt/Write-Off Uncollectable Rent,bd,4,"Jon - (San Antonio, TX) - Salado Creek Villas",
4035,4035 Delinquent Rent,bd,2,"Bryce - (Mineral Wells, TX) - The Dalton",
404.00,404.00 Addtl Care Fees - 2-Person Assist,oi,2,"Jon - (Dallas, TX) - Iris Memory Care of Turtle Creek",
4040,4040 Delinquent Rent,bd,2,"Dylan - (Arlington, TX) - Sweet Redemption",
4040,4040   LESS: MODEL,nr,4,"Dylan - (Temple, TX) - Chappell Hill & Park at Chappell Hill",
4040,4040 Vacancy Loss,v,13,"Bryce - (OKC, OK) - 717 Ventura South",
